bls_code,nest_id,ind_descr,T,T_descr,D,D_descr,SS,SS_descr,S,S_descr,N3D,N3D_descr,N4D,N4D_descr,N5D,N5D_descr,N6D,N6D_descr,parent,parent_descr
10,10,"Total, All Industries",10,"Total, All Industries",,,,,,,,,,,,,,,root,root
101,101,Goods-Producing,10,"Total, All Industries",101,Goods-Producing,,,,,,,,,,,,,10,"Total, All Industries"
102,102,Service-Providing,10,"Total, All Industries",102,Service-Providing,,,,,,,,,,,,,10,"Total, All Industries"
1011,1011,Natural Resources and Mining,10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,,,,,,,,,,,101,Goods-Producing
1012,1012,Construction,10,"Total, All Industries",101,Goods-Producing,1012,Construction,,,,,,,,,,,101,Goods-Producing
1013,1013,Manufacturing,10,"Total, All Industries",101,Goods-Producing,1013,Manufacturing,,,,,,,,,,,101,Goods-Producing
1021,1021,"Trade, Transportation, and Utilities",10,"Total, All Industries",102,Service-Providing,1021,"Trade, Transportation, and Utilities",,,,,,,,,,,102,Service-Providing
1022,1022,Information,10,"Total, All Industries",102,Service-Providing,1022,Information,,,,,,,,,,,102,Service-Providing
1023,1023,Financial Activities,10,"Total, All Industries",102,Service-Providing,1023,Financial Activities,,,,,,,,,,,102,Service-Providing
1024,1024,Professional and Business Services,10,"Total, All Industries",102,Service-Providing,1024,Professional and Business Services,,,,,,,,,,,102,Service-Providing
1025,1025,Education and Health Services,10,"Total, All Industries",102,Service-Providing,1025,Education and Health Services,,,,,,,,,,,102,Service-Providing
1026,1026,Leisure and Hospitality,10,"Total, All Industries",102,Service-Providing,1026,Leisure and Hospitality,,,,,,,,,,,102,Service-Providing
1027,1027,Other Services,10,"Total, All Industries",102,Service-Providing,1027,Other Services,,,,,,,,,,,102,Service-Providing
1028,1028,Public Administration,10,"Total, All Industries",102,Service-Providing,1028,Public Administration,,,,,,,,,,,102,Service-Providing
11,101111,"Agriculture, Forestry, Fishing and Hunting",10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",,,,,,,,,1011,Natural Resources and Mining
21,101121,"Mining, Quarrying, and Oil and Gas Extraction",10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,21,"Mining, Quarrying, and Oil and Gas Extraction",,,,,,,,,1011,Natural Resources and Mining
