total_code,total,domain_code,domain,super_sector_code,super_sector,sector_code,sector,three_digit_code,three_digit_industry,four_digit_code,four_digit_industry,five_digit_code,five_digit_industry,six_digit_code,six_digit_industry,id
10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1111,Oilseed and Grain Farming,11111,Soybean Farming,111110,Soybean Farming,1011111110
10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1111,Oilseed and Grain Farming,11112,Oilseed (except Soybean) Farming,111120,Oilseed (except Soybean) Farming ,1011111120
10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1111,Oilseed and Grain Farming,11113,Dry Pea and Bean Farming,111130,Dry Pea and Bean Farming ,1011111130
10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1111,Oilseed and Grain Farming,11114,Wheat Farming,111140,Wheat Farming,1011111140
10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1111,Oilseed and Grain Farming,11115,Corn Farming,111150,Corn Farming ,1011111150
10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1111,Oilseed and Grain Farming,11116,Rice Farming,111160,Rice Farming,1011111160
10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1111,Oilseed and Grain Farming,11119,Other Grain Farming,111191,Oilseed and Grain Combination Farming ,1011111191
10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1111,Oilseed and Grain Farming,11119,Other Grain Farming,111199,All Other Grain Farming ,1011111199
10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1112,Vegetable and Melon Farming,11121,Vegetable and Melon Farming,111211,Potato Farming ,1011111211
10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1112,Vegetable and Melon Farming,11121,Vegetable and Melon Farming,111219,Other Vegetable (except Potato) and Melon Farming ,1011111219
10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1113,Fruit and Tree Nut Farming,11131,Orange Groves,111310,Orange Groves,1011111310
10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1113,Fruit and Tree Nut Farming,11132,Citrus (except Orange) Groves,111320,Citrus (except Orange) Groves ,1011111320
10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1113,Fruit and Tree Nut Farming,11133,Noncitrus Fruit and Tree Nut Farming,111331,Apple Orchards ,1011111331
10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1113,Fruit and Tree Nut Farming,11133,Noncitrus Fruit and Tree Nut Farming,111332,Grape Vineyards ,1011111332
10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1113,Fruit and Tree Nut Farming,11133,Noncitrus Fruit and Tree Nut Farming,111333,Strawberry Farming ,1011111333
10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1113,Fruit and Tree Nut Farming,11133,Noncitrus Fruit and Tree Nut Farming,111334,Berry (except Strawberry) Farming ,1011111334
10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1113,Fruit and Tree Nut Farming,11133,Noncitrus Fruit and Tree Nut Farming,111335,Tree Nut Farming ,1011111335
10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1113,Fruit and Tree Nut Farming,11133,Noncitrus Fruit and Tree Nut Farming,111336,Fruit and Tree Nut Combination Farming ,1011111336
10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1113,Fruit and Tree Nut Farming,11133,Noncitrus Fruit and Tree Nut Farming,111339,Other Noncitrus Fruit Farming ,1011111339
10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1114,"Greenhouse, Nursery, and Floriculture Production",11141,Food Crops Grown Under Cover,111411,Mushroom Production ,1011111411
10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1114,"Greenhouse, Nursery, and Floriculture Production",11141,Food Crops Grown Under Cover,111419,Other Food Crops Grown Under Cover ,1011111419
10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1114,"Greenhouse, Nursery, and Floriculture Production",11142,Nursery and Floriculture Production,111421,Nursery and Tree Production ,1011111421
10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1114,"Greenhouse, Nursery, and Floriculture Production",11142,Nursery and Floriculture Production,111422,Floriculture Production ,1011111422
10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1119,Other Crop Farming,11191,Tobacco Farming,111910,Tobacco Farming,1011111910
10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1119,Other Crop Farming,11192,Cotton Farming,111920,Cotton Farming,1011111920
10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1119,Other Crop Farming,11193,Sugarcane Farming,111930,Sugarcane Farming,1011111930
10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1119,Other Crop Farming,11194,Hay Farming,111940,Hay Farming ,1011111940
10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1119,Other Crop Farming,11199,All Other Crop Farming,111991,Sugar Beet Farming ,1011111991
10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1119,Other Crop Farming,11199,All Other Crop Farming,111992,Peanut Farming ,1011111992
10,"Total, All Industries",101,Goods-Producing,1011,Natural Resources and Mining,11,"Agriculture, Forestry, Fishing and Hunting",111,Crop Production,1119,Other Crop Farming,11199,All Other Crop Farming,111998,All Other Miscellaneous Crop Farming ,1011111998
